contentname,filename,author,summary,timestamp,link/_mf,link/_kb,filesize,meta
13 Kerajaan (v1.82),13kerajaan.zip,dk-assoc,Game Strategi Multiplayer (1-13 pemain) dalam 1 komputer. Dapatkah anda sebagai raja mempersatukan 13 kerajaan dan menjadi kaisar? (Eng/Ind),,vz971tdd1d3zcuc,"/garett/divinekids-176704/13kerajaan,1188191.zip",26 MB,has subversion
Abjad War,abjadwar.zip,dk-assoc,summary_needed,,uokhai7tcd3lolc,"/garett/divinekids-176704/abjadwar,1188184.zip",9 MB,tidak tertera di halaman dl
Ace Hard Core,ace.zip,dk-assoc,"Clevio dan Fu Chang adalah 2 pasangan detektif, suatu hari Fu Chang diculik! Clevio harus menolong. Pilih armor, senjata, dll.Semi RPG dan cerita bercabang menarik di sini.",,xnedtez5wg601gs,"/garett/divinekids-176704/ace,1188188.zip",10 MB,
The Adventure of Button,advbutton.zip,dk-assoc,"Petualangan seekor anjing bernama Button mencari majikannya, yang terpisah oleh Tsunami. Dia harus mendorong barang, menghindari batu runtuh, cari jalan saat gempa, dll.",,14q2uddx41u15s9,"/garett/divinekids-176704/advbutton,1188192.zip",34 MB,
Aigo Korea (ver 1.00),aigokoreacopy.zip,david,"Belajar Bahasa Korea awalnya belajar hafal abjad, nah dengan game ini belajar Korea jadi terasa menyenangkan dan gampang. Unik dan Menarik!",,scz3bor2nu99m56,"/garett/divinekids-176704/aigokoreacopy,1188182.zip",7 MB,
Ambush Leaders,ambush.zip,teddy,Game Strategi Perang Robot (Turnbase Strategy Game) ini merupakan bentuk game 2011 yang berasal dari Papan Permainan : David Setiabudi& Teddy Gunawan 1993.,,pd48jc93x1gj78b,"/garett/divinekids-176704/ambush,1246374.zip",7 MB,
Andai Aku Koruptor,andai.zip,david,"Game EXTREME SULIT, anda menjadi seorang KPK yang diburu 3 petugas KPK. Kelincahan anda menggerakkan mouse tanpa senggal-senggol menentukan. AWAS Hukuman KEJUTAN (serius) kalau GAME OVER dan tidak segera mengklik sesuatu...",,gr3d12lf42uttq2,"/garett/divinekids-176704/andai,1188177.zip",7 MB,
Anjing Perokok (ver 1.00),anjingperokokthegame.zip,david,"Perokok di tempat umum MERAJALELA. Meracuni anak-anak dengan asapnya, Game bola pantul kocak ini menentang para anjing perokok tersebut.",,c9fh44kgvfp6c7z,"/garett/divinekids-176704/anjingperokokthegame,1246384.zip",12 MB,
Anything 4 Love,anything4love.zip,dk-assoc,"Demi Cinta seorang cowok bersedia berbuat apa saja. Game ini ada pertanyaan tes psikologi, shooting game, ketangkasan,dll. Dari melawan lebah, anjing gila,dll sampai Alien dilawan ... Demi cinta.",,g63qkw1yrk54gyn,"/garett/divinekids-176704/anything4love,1188186.zip",10 MB,
Bajaj Jakarta,bajajjakarta.zip,david,"Ayo kita belajar menyetir bajaj, tahu arah jalan, nawar saat naik bajaj, menghindari ayam lewat, terutama ANTAR JEMPUT orang. Seru, kocak, MANTAP!",,8w4fcj1uk4swl2j,"/garett/divinekids-176704/bajajjakarta,1188190.zip",17 MB,
