contentname,filename,author,summary,timestamp,filesize,meta
13 Kerajaan (v1.82),13kerajaan.zip,dk-assoc,Game Strategi Multiplayer (1-13 pemain) dalam 1 komputer. Dapatkah anda sebagai raja mempersatukan 13 kerajaan dan menjadi kaisar? (Eng/Ind),,26 MB,
Abjad War,abjadwar.zip,dk-assoc,summary_needed,,9 MB,
Ace Hard Core,ace.zip,dk-assoc,"Clevio dan Fu Chang adalah 2 pasangan detektif, suatu hari Fu Chang diculik! Clevio harus menolong. Pilih armor, senjata, dll.Semi RPG dan cerita bercabang menarik di sini.",,10 MB,
The Adventure of Button,advbutton.zip,dk-assoc,"Petualangan seekor anjing bernama Button mencari majikannya, yang terpisah oleh Tsunami. Dia harus mendorong barang, menghindari batu runtuh, cari jalan saat gempa, dll.",,34 MB,
Aigo Korea (ver 1.00),aigokoreacopy.zip,david,"Belajar Bahasa Korea awalnya belajar hafal abjad, nah dengan game ini belajar Korea jadi terasa menyenangkan dan gampang. Unik dan Menarik!",,7 MB,
Ambush Leaders,ambush.zip,teddy,Game Strategi Perang Robot (Turnbase Strategy Game) ini merupakan bentuk game 2011 yang berasal dari Papan Permainan : David Setiabudi& Teddy Gunawan 1993.,,7 MB,
Andai Aku Koruptor,andai.zip,david,"Game EXTREME SULIT, anda menjadi seorang KPK yang diburu 3 petugas KPK. Kelincahan anda menggerakkan mouse tanpa senggal-senggol menentukan. AWAS Hukuman KEJUTAN (serius) kalau GAME OVER dan tidak segera mengklik sesuatu...",,7 MB,
Anjing Perokok (ver 1.00),anjingperokokthegame.zip,david,"Perokok di tempat umum MERAJALELA. Meracuni anak-anak dengan asapnya, Game bola pantul kocak ini menentang para anjing perokok tersebut.",,12 MB,
Anything 4 Love,anything4love.zip,dk-assoc,"Demi Cinta seorang cowok bersedia berbuat apa saja. Game ini ada pertanyaan tes psikologi, shooting game, ketangkasan,dll. Dari melawan lebah, anjing gila,dll sampai Alien dilawan ... Demi cinta.",,10 MB,
Bajaj Jakarta,bajajjakarta.zip,david,"Ayo kita belajar menyetir bajaj, tahu arah jalan, nawar saat naik bajaj, menghindari ayam lewat, terutama ANTAR JEMPUT orang. Seru, kocak, MANTAP!",,17 MB,
Bakat Bisnis,bakatbisnis.zip,david,Anda menjadi kasir sebuah supermarket yang melayani banyak pembeli. Dari sinilah dapat diukur apakah anda berbakat jadi seorang wirausahawan/ businessman. PLUS Saran Bisnis ! Awas BAMBO marah-marah ya!,,9 MB,
Pendekar Bambo Ketik,bamboketik.zip,david,"Game mini ala RPG, anda berstrategi, sekaligus berlatih mengetik! Semakin jauh beda level anda denganmusuh, semakin banyak huruf, dan gunakan strategi yang tepat! Bisa ketik 10 jari? Coba level EDAN!",,6 MB,
Bambo Quest Melawan Raja Kobra,bamboquest.zip,david,"Game petualangan di dalam sebuah istana, Bambo bisa menggunakan keris atau ketapel untuk mengalahkan musuh. Dapatkan uang, peta, kunci di dalam istana. Awas Raja Kobra!",,10 MB,
Beda,beda.zip,david,"Ada 32 photo mahasiswa dan masing-masing ada yang kembar 2, kembar 3, dst. TAPI SATU photo yang tidak ada kembarannya. Temukan itu! Photo kocak mahasiswa.",,9 MB,
Bekantan,bekantan.zip,agitsha,Game kepekaan klik mengendalikan Bekantan si Monyet terbang menghindari tiang-tiang. Game full of STRESS. Biasa manusia main dapat skor dibawah 5.,,2 MB,
Bello Adventure,bello.zip,dk-assoc,"Game Cerita Bercabang dengan animasi dan dubbing berbahasa Inggris ini menceritakan Bello yang mencari madu dan istri. Ada jebakan,ayam kecil, lebah, kelinci dalam perjalanannya.",,19 MB,
